Time,TAPPLE_BID,TAPPLE_ASK,APPCHAT_BID,APPCHAT_ASK,BESLA_BID,BESLA_ASK,TAB_BID,TAB_ASK
0,99.98,100.02,19.99,20.01,299.97,300.03,581.05,581.29,
1,100.12,100.16,20.00,20.02,299.93,299.99,581.32,581.56,
2,100.40,100.44,19.92,19.94,300.64,300.70,581.30,581.54,
3,100.60,100.64,19.93,19.95,298.74,298.80,578.87,579.11,
4,101.05,101.09,19.90,19.92,301.09,301.15,581.45,581.69,
5,100.82,100.86,20.03,20.05,305.00,305.06,585.10,585.34,
6,100.65,100.69,20.03,20.05,302.40,302.46,580.74,580.98,
7,100.81,100.85,20.10,20.12,300.22,300.28,578.05,578.29,
8,100.80,100.84,20.09,20.11,297.82,297.88,575.85,576.09,
9,100.76,100.80,20.04,20.06,299.47,299.53,578.26,578.50,
10,100.56,100.60,19.98,20.00,297.92,297.98,576.04,576.28,
11,100.67,100.71,20.03,20.05,300.04,300.10,578.27,578.51,
12,100.57,100.61,20.03,20.05,299.00,299.06,576.65,576.89,
13,100.33,100.37,20.10,20.12,296.31,296.37,576.09,576.33,
14,100.71,100.75,20.08,20.10,297.83,297.89,579.30,579.54,
15,101.15,101.19,20.07,20.09,297.48,297.54,579.13,579.37,
16,101.05,101.09,20.08,20.10,298.91,298.97,581.35,581.59,
17,101.60,101.64,20.00,20.02,302.26,302.32,585.79,586.03,
18,101.59,101.63,19.82,19.84,304.05,304.11,586.78,587.02,
19,101.61,101.65,19.87,19.89,307.78,307.84,591.17,591.41,
20,101.82,101.86,19.85,19.87,305.88,305.94,588.99,589.23,
21,102.09,102.13,19.84,19.86,308.11,308.17,591.45,591.69,
22,102.37,102.41,19.75,19.77,308.37,308.43,591.90,592.14,
23,102.07,102.11,19.67,19.69,310.96,311.02,593.64,593.88,
24,101.82,101.86,19.68,19.70,311.38,311.44,594.26,594.50,
25,102.18,102.22,19.66,19.68,313.57,313.63,596.53,596.77,
26,101.85,101.89,19.70,19.72,311.91,311.97,596.08,596.32,
27,102.22,102.26,19.68,19.70,311.63,311.69,597.72,597.96,
28,102.05,102.09,19.75,19.77,312.78,312.84,598.66,598.90,
29,101.94,101.98,19.71,19.73,313.25,313.31,598.76,599.00,
30,101.84,101.88,19.66,19.68,313.14,313.20,597.77,598.01,
31,101.45,101.49,19.55,19.57,316.86,316.92,598.93,599.17,
32,102.04,102.08,19.51,19.53,322.01,322.07,605.08,605.32,
33,101.12,101.16,19.56,19.58,324.10,324.16,605.20,605.44,
34,100.90,100.94,19.64,19.66,322.08,322.14,603.74,603.98,
35,101.02,101.06,19.59,19.61,320.45,320.51,601.44,601.68,
36,100.84,100.88,19.55,19.57,320.48,320.54,601.06,601.30,
37,101.06,101.10,19.50,19.52,321.26,321.32,602.12,602.36,
38,100.61,100.65,19.43,19.45,323.30,323.36,602.69,602.93,
39,100.41,100.45,19.35,19.37,326.72,326.78,605.97,606.21,
40,100.22,100.26,19.41,19.43,332.97,333.03,612.56,612.80,
41,100.06,100.10,19.49,19.51,332.80,332.86,613.30,613.54,
42,99.96,100.00,19.38,19.40,330.93,330.99,610.79,611.03,
43,100.32,100.36,19.32,19.34,332.90,332.96,612.53,612.77,
44,100.59,100.63,19.41,19.43,332.16,332.22,612.98,613.22,
45,100.21,100.25,19.34,19.36,334.46,334.52,613.52,613.76,
46,99.68,99.72,19.30,19.32,334.77,334.83,612.29,612.53,
47,99.16,99.20,19.33,19.35,336.64,336.70,614.37,614.61,
48,99.48,99.52,19.32,19.34,337.83,337.89,615.75,615.99,
49,99.57,99.61,19.26,19.28,337.97,338.03,616.86,617.10,
50,99.41,99.45,19.12,19.14,340.71,340.77,618.36,618.60,
51,99.56,99.60,19.06,19.08,339.47,339.53,616.59,616.83,
52,99.78,99.82,19.09,19.11,344.23,344.29,620.22,620.46,
53,100.25,100.29,19.12,19.14,344.52,344.58,620.49,620.73,
54,100.60,100.64,19.14,19.16,344.62,344.68,621.52,621.76,
55,100.60,100.64,19.10,19.12,342.32,342.38,619.91,620.15,
56,101.03,101.07,19.22,19.24,340.65,340.71,620.45,620.69,
57,100.93,100.97,19.28,19.30,341.61,341.67,622.28,622.52,
58,100.95,100.99,19.29,19.31,341.57,341.63,621.02,621.26,
59,101.08,101.12,19.25,19.27,339.39,339.45,619.19,619.43,
60,101.46,101.50,19.32,19.34,341.09,341.15,622.45,622.69,
61,101.54,101.58,19.29,19.31,340.62,340.68,622.05,622.29,
62,101.65,101.69,19.35,19.37,336.33,336.39,618.24,618.48,
63,102.14,102.18,19.29,19.31,338.21,338.27,620.04,620.28,
64,101.81,101.85,19.22,19.24,341.87,341.93,622.71,622.95,
65,101.42,101.46,19.25,19.27,343.49,343.55,623.53,623.77,
66,102.24,102.28,19.24,19.26,346.30,346.36,628.93,629.17,
67,102.79,102.83,19.26,19.28,346.64,346.70,631.84,632.08,
68,103.14,103.18,19.26,19.28,346.91,346.97,633.71,633.95,
69,102.98,103.02,19.31,19.33,345.57,345.63,632.81,633.05,
70,102.66,102.70,19.29,19.31,344.79,344.85,631.29,631.53,
71,102.09,102.13,19.32,19.34,343.96,344.02,629.31,629.55,
72,102.56,102.60,19.31,19.33,342.52,342.58,628.80,629.04,
73,102.52,102.56,19.30,19.32,338.23,338.29,624.97,625.21,
74,102.03,102.07,19.29,19.31,339.28,339.34,625.31,625.55,
75,101.64,101.68,19.37,19.39,342.47,342.53,627.46,627.70,
76,102.25,102.29,19.45,19.47,337.83,337.89,622.62,622.86,
77,101.73,101.77,19.42,19.44,340.29,340.35,624.41,624.65,
78,101.79,101.83,19.44,19.46,337.41,337.47,621.06,621.30,
79,102.37,102.41,19.42,19.44,339.16,339.22,622.45,622.69,
80,102.34,102.38,19.37,19.39,347.03,347.09,629.23,629.47,
81,102.92,102.96,19.39,19.41,346.88,346.94,630.21,630.45,
82,103.63,103.67,19.43,19.45,343.39,343.45,627.47,627.71,
83,103.38,103.42,19.49,19.51,345.11,345.17,629.68,629.92,
84,103.45,103.49,19.60,19.62,343.23,343.29,629.27,629.51,
85,103.13,103.17,19.65,19.67,343.51,343.57,629.41,629.65,
86,103.28,103.32,19.57,19.59,344.66,344.72,630.78,631.02,
87,102.48,102.52,19.54,19.56,341.85,341.91,626.26,626.50,
88,102.35,102.39,19.55,19.57,345.17,345.23,629.16,629.40,
89,102.59,102.63,19.47,19.49,344.54,344.60,628.71,628.95,
90,102.33,102.37,19.48,19.50,345.24,345.30,629.49,629.73,
91,102.07,102.11,19.47,19.49,346.61,346.67,629.65,629.89,
92,102.14,102.18,19.41,19.43,345.70,345.76,629.03,629.27,
93,101.78,101.82,19.49,19.51,345.59,345.65,629.12,629.36,
94,101.56,101.60,19.40,19.42,349.45,349.51,631.72,631.96,
95,100.89,100.93,19.45,19.47,348.56,348.62,631.25,631.49,
96,100.77,100.81,19.50,19.52,347.80,347.86,631.02,631.26,
97,100.67,100.71,19.54,19.56,351.10,351.16,634.96,635.20,
98,100.55,100.59,19.64,19.66,354.49,354.55,639.46,639.70,
99,100.79,100.83,19.71,19.73,352.53,352.59,636.85,637.09,
100,100.30,100.34,19.67,19.69,355.12,355.18,639.39,639.63,
101,99.83,99.87,19.55,19.57,355.79,355.85,639.36,639.60,
102,99.32,99.36,19.57,19.59,356.89,356.95,638.89,639.13,
103,99.24,99.28,19.49,19.51,352.92,352.98,635.39,635.63,
104,99.43,99.47,19.43,19.45,355.65,355.71,638.76,639.00,
105,99.16,99.20,19.44,19.46,358.03,358.09,640.49,640.73,
106,98.70,98.74,19.44,19.46,355.55,355.61,636.56,636.80,
107,98.85,98.89,19.32,19.34,352.72,352.78,633.80,634.04,
108,99.38,99.42,19.29,19.31,355.13,355.19,636.48,636.72,
109,99.14,99.18,19.22,19.24,357.21,357.27,636.86,637.10,
110,99.41,99.45,19.13,19.15,355.23,355.29,636.38,636.62,
111,99.74,99.78,19.11,19.13,355.90,355.96,638.01,638.25,
112,99.63,99.67,19.06,19.08,353.61,353.67,634.03,634.27,
113,99.31,99.35,19.05,19.07,356.29,356.35,636.52,636.76,
114,98.98,99.02,18.99,19.01,356.48,356.54,635.81,636.05,
115,98.98,99.02,19.04,19.06,356.42,356.48,634.11,634.35,
116,98.74,98.78,19.03,19.05,354.63,354.69,631.27,631.51,
117,98.72,98.76,19.12,19.14,355.47,355.53,632.26,632.50,
118,98.35,98.39,19.08,19.10,355.87,355.93,632.14,632.38,
119,98.16,98.20,19.03,19.05,353.74,353.80,628.62,628.86,
120,98.25,98.29,19.00,19.02,351.29,351.35,626.00,626.24,
121,98.79,98.83,18.93,18.95,347.63,347.69,622.47,622.71,
122,99.01,99.05,18.98,19.00,349.76,349.82,626.04,626.28,
123,98.96,99.00,18.93,18.95,349.56,349.62,624.91,625.15,
124,98.94,98.98,18.92,18.94,350.00,350.06,624.30,624.54,
